,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
0,89.0,53.0,62.0,91.0,82.0,20801.0,89.0,61.0,53.0,82.0,62.0,91.0,89.0,92.0,91.0,66.0,89.0,61.0,53.0,82.0,62.0,91.0,89.0,92.0,91.0,66.0,92.0
1,92.0,45.0,59.0,92.0,84.0,158023.0,92.0,57.0,45.0,84.0,59.0,92.0,90.0,88.0,91.0,62.0,92.0,57.0,45.0,84.0,59.0,92.0,90.0,88.0,91.0,62.0,88.0
2,88.0,46.0,59.0,88.0,79.0,190871.0,88.0,59.0,46.0,79.0,59.0,88.0,87.0,84.0,89.0,64.0,88.0,59.0,46.0,79.0,59.0,88.0,87.0,84.0,89.0,64.0,84.0
3,87.0,58.0,65.0,88.0,80.0,176580.0,87.0,64.0,58.0,80.0,65.0,88.0,85.0,88.0,87.0,68.0,87.0,64.0,58.0,80.0,65.0,88.0,85.0,88.0,87.0,68.0,88.0
4,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,167495.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
5,84.0,57.0,62.0,87.0,78.0,188545.0,84.0,58.0,57.0,78.0,62.0,87.0,82.0,88.0,84.0,61.0,84.0,58.0,57.0,78.0,62.0,87.0,82.0,88.0,84.0,61.0,88.0
6,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,193080.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
7,88.0,47.0,61.0,87.0,81.0,183277.0,88.0,59.0,47.0,81.0,61.0,87.0,87.0,82.0,88.0,64.0,88.0,59.0,47.0,81.0,61.0,87.0,87.0,82.0,88.0,64.0,82.0
8,83.0,72.0,82.0,81.0,87.0,182521.0,83.0,76.0,72.0,87.0,82.0,81.0,81.0,77.0,80.0,78.0,83.0,76.0,72.0,87.0,82.0,81.0,81.0,77.0,80.0,78.0,77.0
9,81.0,46.0,52.0,84.0,71.0,167664.0,81.0,51.0,46.0,71.0,52.0,84.0,79.0,87.0,82.0,55.0,81.0,51.0,46.0,71.0,52.0,84.0,79.0,87.0,82.0,55.0,87.0
10,70.0,87.0,83.0,70.0,74.0,155862.0,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,70.0,84.0,87.0,74.0,83.0,70.0,71.0,72.0,69.0,81.0,72.0
11,86.0,57.0,70.0,85.0,84.0,192985.0,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,86.0,66.0,57.0,84.0,70.0,85.0,85.0,81.0,85.0,71.0,81.0
12,59.25175526579739,55.55046389167502,56.86528335005015,59.03002758274825,58.50683299899699,192119.0,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,59.25175526579739,56.979689067201605,55.55046389167502,58.50683299899699,56.86528335005015,59.03002758274825,60.05773570712137,58.20404964894684,59.35926529588766,57.69872116349047,58.20404964894684
13,85.0,56.0,64.0,85.0,79.0,184941.0,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,85.0,62.0,56.0,79.0,64.0,85.0,85.0,83.0,86.0,66.0,83.0
14,86.0,72.0,80.0,83.0,86.0,177003.0,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,86.0,78.0,72.0,86.0,80.0,83.0,84.0,76.0,83.0,80.0,76.0
15,86.0,67.0,71.0,87.0,81.0,173731.0,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,86.0,72.0,67.0,81.0,71.0,87.0,87.0,87.0,87.0,74.0,87.0
16,85.0,44.0,54.0,87.0,75.0,153079.0,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,85.0,52.0,44.0,75.0,54.0,87.0,84.0,86.0,86.0,57.0,86.0
